smt 1,smt 2,smt 3,smt 4,smt 5,smt 6,USBN,UNBK
86.375,84.06666667,84.55,86.38333333,92,89,96,72
83.6875,84.5,82.76666667,82.3,87,87,94.2,80
88.75,85.3,84.5,86.18333333,93,89,96.8,82
85.4375,86.4,85.56666667,86.1,91,89,96.8,96
88.0625,85.8,86.15,89.76666667,92,89,95.8,82
83.1875,85,83.68333333,83.125,89,89,94.6,76
83,87.21666667,84.3,85.11666667,88,89,94.2,78
85.0625,83.95,82.75,84.25,88,88,93,80
83.375,85.9,85.3,87.03333333,87,88,93,72
83.8125,82.5,82.26666667,81.74166667,89,89,92.8,60
85.375,87.4,82.91666667,82.41666667,86,89,93.4,80
87.1875,87.25,86.95,83.85,90,90,96.4,86
89.8125,83.5,82.65,82.46666667,89,88,93.4,64
83.8125,85.6,82,81.575,86,88,93,74
84,85.15,86.25,82.05,87,88,92.4,72
86.9375,87,86.6,87.23333333,92,90,96.4,78
87.75,84.95,82.95,83.9,90,88,95.4,78
83.375,84.5,82.13333333,82.08333333,87,88,93,78
85.5625,84,83.525,82.73333333,87,88,92.8,68
83.5625,84.1,84.41666667,83.85,90,88,93.4,84
87.875,85.2,87.48333333,87.21666667,92,89,97.2,88
88.75,82.65,83.21666667,83.93333333,88,88,94,80
88.47916667,90.2,84.35,88.01666667,90,89,97.2,86
85.125,84.95,85.6,86.5,90,89,97.6,84
85.25,85.8,88.45,86.66666667,92,89,96,90
83.25,84.4,86.475,85.76666667,89,89,94,64
90.75,88.16666667,88.9,88.9,90,89,97.2,92
85.375,85.85,84.81666667,86.13333333,91,89,96,82
85.3125,83.9,82.93333333,83.48333333,88,88,94.6,80
88.4375,84.1,84.06666667,84.63333333,87,88,96,80
85.9375,86.15,82.26666667,81.7,88,88,94,72
84.4375,86.35,83.13333333,83.38333333,87,88,96,88
84.25,86.1,86.16666667,83.94166667,88,88,94,78
84.1875,85.3,82.15,83.075,86,88,94,76
85.3125,84.7,86.16666667,83.50833333,88,89,95.2,80
91.60416667,84.75,82.73333333,84.01666667,88,89,96.4,82
82,85.53333333,89.275,84.38333333,88,88,94,86
85,86.95,84.05,84.4,88,89,95.4,84
85.97916667,91.3,87.05,86.35,89,89,96,88
82.25,82.38333333,82,82,88,89,94.6,74
94.7,90.43333333,88.65,90.3,89,89,97.2,86
86.6875,84.26666667,84.35,84.4,89,90,96,74
85,83.93333333,87.3,87.63333333,88,89,93.4,80
86.875,84.2,82.9,83.16666667,87,88,94.2,84
92.02083333,94.1,88.9,90.25,91,90,97.2,92
88.4375,85.56666667,83.41666667,84.83333333,91,90,96,88
83.47916667,84.15,82.85,84.5,88,87,91.4,76
86.60416667,84.55,85,84.05,88,88,92.6,82
84.0625,82.3,82.4,81.85,87,87,93.2,60
83.5625,83.25,85.65,83.35,88,87,90.4,70
88,84.95,89.05,87.85,92,94,95.4,80
83.91666667,82,86.15,87.1,90,92,90.8,80
91.3125,92.8,87.63333333,88.31666667,91,90,95.6,82
82.75,82.13333333,82.45,83.35,88,88,91,74
91.45833333,87.05,83.53333333,84.88333333,89,89,91.4,80
83.6875,83.2,83.5,85.1,88,89,91.4,82
82.66666667,86.45,82.36666667,84.85833333,87,86,92.8,80
85.9375,86.4,90.2,93,94,94,95.4,88
84.1875,84.35,87.23333333,84.48333333,93,94,95,82
86.75,85.7,87.55,89,94,95,95.6,88
84.8125,85.95,83.73333333,86.25,87,88,92.4,86
87.0625,82.4,83.41666667,84.05,88,87,92.8,86
90.54166667,89.25,83.78333333,85.83333333,90,89,93,90
85.25,82.63333333,82.1,83.86666667,88,87,91.2,68
83.75,83.15,82.43333333,82.35,86,87,91.8,58
90,88.1,83.3,85.35,90,89,95.6,78
89.66666667,92.4,84.51666667,85.86666667,91,90,96,86
87.83333333,85.25,85.68333333,87.025,91,90,95.2,78
82,82.3,82.06666667,82.44166667,88,90,91.2,74
87.8125,85.36666667,85.3,84.55,91,90,94.8,70
91.875,84.5,83.56666667,83.94166667,91,90,93.4,82
85.4375,86.7,85.53333333,86.05,92,91,94.2,88
83.6875,84.35,83,82.35,87,88,90.8,72
83.25,82.4,84.9,85,87,89,90.8,48
88.625,84.66666667,87.15,82.86666667,91,89,93.4,70
83.8125,84.15,84.25,87.16666667,90,89,92.2,64
85.4375,85,83.675,85.61666667,90,88,93.4,68
83.20833333,82,83.03333333,83.28333333,90,91,92.6,60
87.625,83.5,83.05,83.43333333,92,93,93.2,78
90.125,84.7,82.73333333,82.28333333,90,90,93.8,76
92,89,89.45,88.43333333,92,91,94.6,84
86.5,82.66666667,82.36666667,82.46666667,90,89,92.2,54
87.5625,86.65,88.15,86.1,92,91,94.6,84
83.5,86.6,86.15,89.85,94,92,94.6,66
85.79166667,89.25,84.81666667,85.93333333,91,90,93.2,72
92.60416667,86.2,86.95,88.36666667,92,89,95.4,86
88.4375,87.55,85.5,88.14166667,93,92,95.2,82
84.25,83.75,84.01666667,83.51666667,89,88,94.2,76
84.25,82.91666667,84.41666667,84.53333333,92,92,93.8,74
85.3125,83.05,83.725,88.56666667,92,92,93.8,82
84.125,84.45,82,82.03333333,89,89,93.6,68
84.89583333,82.3,85.8,82.05,88,88,93,74
87.9375,85.4,87.46666667,84.09166667,89,88,93.6,84
83.375,82.13333333,85.08333333,85.41666667,91,90,94.6,74
85,82.18333333,84.56666667,85.73333333,91,89,94.6,82
84.41666667,84.05,86.05,84.18333333,89,89,93,74
84.9375,85.15,83.38333333,84.7,91,90,95.2,70
84.125,85.25,84.55,83,91,89,94.2,70
83.5625,84.7,85.4,83.1,93,93,93.8,72
83.875,85.4,84.81666667,85.58333333,91,91,94.2,80
86.5625,87.65,85.11666667,86.6,94,92,95.4,70
86.375,85.56666667,84.03333333,84.05,89,88,94,84
